N°,Parcours,Lieu,Langue,Question,Réponse
8,Mission Vin Mystère,Cave des Templiers,ca,Quin edifici emblemàtic hi domina?,ajuntament
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,fr,Quel élément naturel est visible à l'horizon ?,cap bear
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,en,What natural feature is seen on the horizon?,cap bear
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,ca,Quin element natural es veu a l'horitzó?,cap bear
10,Mission Vin Mystère,Maison du Vin de Banyuls,fr,Qui gère le trafic maritime ici ?,capitaine
10,Mission Vin Mystère,Maison du Vin de Banyuls,en,Who manages the maritime traffic here?,captain
10,Mission Vin Mystère,Maison du Vin de Banyuls,ca,Qui gestiona el trànsit marítim aquí?,capità
1,Secrets du Vieux Port,Domaine Madeloc,fr,Combien de marches mènent au sommet ?,112
1,Secrets du Vieux Port,Domaine Madeloc,en,How many steps lead to the top?,112
1,Secrets du Vieux Port,Domaine Madeloc,ca,Quants graons porten al cim?,112
2,Secrets du Vieux Port,Cave Abbé Rous,fr,Quel artiste a peint ici en plein air ?,maillol
2,Secrets du Vieux Port,Cave Abbé Rous,en,Which artist painted here outdoors?,maillol
2,Secrets du Vieux Port,Cave Abbé Rous,ca,Quin artista pintava aquí a l'aire lliure?,maillol
3,Secrets du Vieux Port,Mas Reig,fr,Quel objet y était fabriqué autrefois ?,corde
3,Secrets du Vieux Port,Mas Reig,en,What object used to be made here?,rope
3,Secrets du Vieux Port,Mas Reig,ca,Quin objecte es fabricava aquí?,corda
4,Secrets du Vieux Port,Terrasses des Balmettes,fr,Quel type de bateau a coulé ici ?,chalutier
4,Secrets du Vieux Port,Terrasses des Balmettes,en,What kind of boat sank here?,trawler
4,Secrets du Vieux Port,Terrasses des Balmettes,ca,Quin tipus de vaixell s'ha enfonsat aquí?,vaixell de bou
5,Secrets du Vieux Port,Sentier du Vignoble,fr,Quel bois était le plus utilisé ?,chêne
5,Secrets du Vieux Port,Sentier du Vignoble,en,Which wood was mostly used?,oak
5,Secrets du Vieux Port,Sentier du Vignoble,ca,Quina fusta s'utilitzava més?,roure
6,Secrets du Vieux Port,Clos Castell,fr,Quel poisson typique y était pêché ?,anchois
6,Secrets du Vieux Port,Clos Castell,en,What typical fish was caught here?,anchovy
6,Secrets du Vieux Port,Clos Castell,ca,Quin peix típic es pescava aquí?,anxova
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,fr,À quoi servait ce quai au XXe siècle ?,marchandises
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,en,What was this dock used for in the 20th century?,goods
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,ca,Per a què servia aquest moll al segle XX?,mercaderies
8,Secrets du Vieux Port,Cave des Templiers,fr,Quel bâtiment emblématique y surplombe ?,mairie
8,Secrets du Vieux Port,Cave des Templiers,en,Which emblematic building overlooks here?,town hall
8,Secrets du Vieux Port,Cave des Templiers,ca,Quin edifici emblemàtic hi domina?,ajuntament
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,fr,Quel élément naturel est visible à l'horizon ?,cap bear
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,en,What natural feature is seen on the horizon?,cap bear
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,ca,Quin element natural es veu a l'horitzó?,cap bear
10,Secrets du Vieux Port,Maison du Vin de Banyuls,fr,Qui gère le trafic maritime ici ?,capitaine
10,Secrets du Vieux Port,Maison du Vin de Banyuls,en,Who manages the maritime traffic here?,captain
10,Secrets du Vieux Port,Maison du Vin de Banyuls,ca,Qui gestiona el trànsit marítim aquí?,capità
